word,pos,definition
cart,noun,"vehicle for carrying loads, usu pulled by a horse"
,noun,do things in the wrong order
,verb,carry sth in a cart or other vehicle
,verb,"carry sth large, heavy or awkward"
,noun,large strong horse used for heavy work
,noun,sideways somersault with arms and legs stretched out
cartoonist,,
cartridge,noun,"tube or case containing explosive and a bullet, for firing from a gun"
,noun,"case containing sth that is used in a machine, eg photographic film for a camera, ink for a printer, etc"
,noun,thin tube containing ink which you put in a pen
carver,,
carving,,
cascara,,
cashmere,noun,fine soft wool
casino,noun,public building or room where people play gambling games for money
cask,noun,barrel for storing liquids
cassette,noun,small sealed case containing magnetic tape or film
catalogue,noun,"list of items, eg goods for sale"
,verb,list sth in a catalogue
catalyze,,
catapult,noun,The definition of a catapult is a military machine or other device that launches something with great force.
,verb,To catapult is defined as to forcefully throw something.
catching,,
catchword,,
catchy,,
cate,,
categorize,,
cathode,noun,"negative electrode in a battery, etc"
Catholic,adjective,"The definition of catholic is something that is wide-ranging, comprehensive, or refers to something or someone related to the Christian church or the Roman Catholic Church."
cation,,
catwalk,,
caught,verb,"The definition of caught means taken hold of and prevented from leaving, or spotted in the act of doing something wrong."
,verb,Caught is the past tense of catch and means that someone was trapped or something that was thrown was grabbed.
cauliflower,noun,vegetable with a large white flower head
caulk,,
causal,,
causality,,
cauterize,verb,"The definition of cauterize is to burn or freeze the flesh around a wound, usually to close off or clean the wound."
Cavalier,adjective,The definition of cavalier is an arrogant person or someone indifferent or casual about important matters.
,noun,A cavalier is defined as a knight or a courteous gentleman.
cd,,
ceasefire,,
cedar,noun,tall evergreen tree with wide spreading branches
,noun,hard sweet-smelling wood of this tree
celebrated,,
celery,noun,plant whose white stems are eaten raw
celibate,adjective,"The definition of celibate is refraining from sexual relations, usually for religious reasons."
cell phone,,
cellist,,
cellular,adjective,connected with or consisting of plant or animal cells
,adjective,connected with a telephone system that works by radio instead of wires
,adjective,"(of blankets, etc) loosely woven"
celluloid,,
Celsius,adjective,The definition of Celsius is something related a system of measuring temperature where water freezes at 0 degrees and boils at 100 degrees.
,noun,Celsius is defined as a system of measuring temperature where water freezes at 0 degrees and boils at 100 degrees.
centaur,noun,(in Greek mythology) creature that is half man and half horse
centenary,noun,100th anniversary
centigrade,,
centimetre,noun,metric unit of length; 100th part of a metre
central government,,
centralise,,
centralize,verb,(cause sth to) come under the control of one central authority
centre,noun,"The definition of centre is the British spelling for center and means the middle of something, or is a region in central France."
centric,adjective,The definition of centric is something that is centered or near the center.
centripetal,,
centrist,,
centurion,noun,The definition of a centurion is a leader of 60 to 100 soldiers in the ancient Roman army.
ceramic,noun,object made of clay that has been made permanently hard by heat
,noun,art of making and decorating ceramics
ceremonial,adjective,relating to or used in a ceremony
,noun,"system of rules, etc for ceremonies"
ceremonious,adjective,very formal and polite
certainly,adverb,The definition of certainly is absolutely or definitely.
certainty,,
certification,,
certify,verb,"state officially, esp in writing, that sth is true"
cervical,,
cession,noun,"The definition of cession is the giving up of rights, property or territory to another."
cesspit,noun,"underground hole for collecting waste from a building, esp the toilets"
chairperson,,
chairwoman,,
chalet,noun,Swiss mountain hut built of wood
,noun,small house in a holiday camp
chalice,noun,The definition of a chalice is a cup or goblet.
challenged,,
challenger,,
champagne,noun,sparkling white French wine
championship,,
change,noun,The definition of a change is the act becoming different.
,verb,Change means to replace one thing for another or to become different.
channeling,,
chantey,,
characterise,,
charcoal,noun,"black substance of burnt wood, used as a fuel, for drawing, etc"
chargeable,,
chartered,,
charwoman,,
chassis,noun,"The definition of a chassis is the structural framework or base framework of a car, computer, radio, or piece of audio equipment."
chastisement,,
chateau,noun,castle or large country house in France
chatterbox,,
chauvinist,,
chauvinistic,,
checked,,
checkered,,
checkout,,
checkpoint,,
checkup,,
cheesecake,,
chemosynthesis,,
cheque,noun,"The definition of cheque is the British spelling of the word ""check"" and refers to a written order directing a bank to pay money."
cherubic,,
chess,noun,board game for two players
chest,noun,upper front part of the body
,noun,large strong box
,noun,say sth that you have wanted to say for a long time
,noun,piece of furniture with drawers for keeping clothes in
chestnut,noun,(tree producing a) smooth reddish-brown nut
,adjective,reddish-brown in colour
chief of staff,,
chiefly,,
chieftain,noun,leader of a tribe
childbirth,,
childless,,
children,noun,The definition of children means more than one child.
chilli,noun,"small green or red fruit of a type of pepper plant used in cooking to give a hot taste to food, often dried or made into powder"
,noun,"hot spicy Mexican dish made with meat, beans and chillies"
chilly,,
chimerical,,
chimney,noun,structure through which smoke is carried away from a fire and through the roof of a building
,noun,short pipe fitted to the top of a chimney
,noun,part of the chimney that is above the roof of a building
,noun,person whose job is to clean the inside of chimneys
chimpanzee,noun,small intelligent African ape
chin,noun,part of the face below the mouth
Chinese,adjective,Chinese is defined as something relating to China.
,noun,The definition of Chinese is a person or language from China.
chink,noun,narrow opening in sth
,noun,small area of light shining through a narrow opening
,noun,light ringing sound that is made when glass objects or coins touch
,verb,"make a ringing sound when glass objects, coins, etc hit together"
